p0	p1	25_38_46_56	23_36_40_55_78	0.800077422452
p0	p2	25_38_46_56	9_36_38_48	0.809323402271
p0	p3	25_38_46_56	25_46_66_81	0.81231868372
p0	p4	25_38_46_56	7_25_33_36_48	0.781635400792
p0	p5	25_38_46_56	15_63_65_81	0.860032321522
p0	p6	25_38_46_56	14_40_46_56_59_78	0.75854984439
p0	p7	25_38_46_56	6_9_20_24_25_40_46_82	0.823964404146
p0	p8	25_38_46_56	15_19_42_80	0.776476750167
p0	p9	25_38_46_56	10_23_40_78	0.840285263958
p0	p10	25_38_46_56	11_19_25_56_59_80	0.788672162528
p0	p11	25_38_46_56	36_41_59_64_82_84	0.924301666486
p0	p12	25_38_46_56	20_37_55_81	0.855597535628
p0	p13	25_38_46_56	8_15_84	0.899747753231
p0	p14	25_38_46_56	6_7_20_40_48_81	0.868823996844
p0	p15	25_38_46_56	19_25_55_78	0.792237911774
p0	p16	25_38_46_56	37_56_66	0.741677061322
p0	p17	25_38_46_56	15_24_48_63_84	0.833990425496
p0	p18	25_38_46_56	41_42_59_81_82	0.892994869376
p0	p19	25_38_46_56	23_59_80_84	0.902542142682
p0	p20	25_38_46_56	9_10_36_38_41	0.793077217274
p0	p21	25_38_46_56	8_9_14_59_63	0.835515581045
p0	p22	25_38_46_56	14_23_81	0.842367390434
p0	p23	25_38_46_56	15_25_33_38_40_56_80	0.730144900194
p0	p24	25_38_46_56	8_24_33_64_78_84	0.901400604934
p0	p25	25_38_46_56	7_20_78	0.869982730772
p0	p26	25_38_46_56	15_19_20_25_33_41	0.739975311469
p0	p27	25_38_46_56	7_9_10_14_37_59	0.849419165957
p0	p28	25_38_46_56	6_23_24_40_78_81_84	0.87877557455
p0	p29	25_38_46_56	40_46_65	0.74510186297
p0	p30	25_38_46_56	11_15_33_42	0.765273038097
p0	p31	25_38_46_56	6_10_37_42_55_59_65	0.836864694321
p0	p32	25_38_46_56	15_59_65_82_84	0.909213371035
p0	p33	25_38_46_56	7_9_14_36_46_56_81	0.824568451148
p0	p34	25_38_46_56	11_41_42_55_65	0.793331218857
p0	p35	25_38_46_56	10_23_55_56_82	0.900927825915
p0	p36	25_38_46_56	9_33_64_65	0.910877783899
p0	p37	25_38_46_56	8_20_25_46_59_78_82	0.845853299732
p0	p38	25_38_46_56	20_23_33_46_48_56_78	0.779454768628
p0	p39	25_38_46_56	9_10_11_20_41_46_84	0.851039806123
p0	p40	25_38_46_56	7_33_40_65_66	0.791410514999
p0	p41	25_38_46_56	15_59_80	0.819591505585
p0	p42	25_38_46_56	6_7_11_15_38_48_55	0.846400622681
p0	p43	25_38_46_56	36_41_46_84	0.809758347778
p0	p44	25_38_46_56	6_10_19_24	0.826228114744
p0	p45	25_38_46_56	15_40_42_46_80_82_84	0.857762048409
p0	p46	25_38_46_56	40_56_84	0.840121387596
p0	p47	25_38_46_56	48_64_81	0.927537720507
p0	p48	25_38_46_56	7_33_40_55_81	0.862941853261
p0	p49	25_38_46_56	6_20_33_42_55_65_81	0.840546495675
p0	p50	25_38_46_56	8_25_33_63_66	0.777408892092
p0	p51	25_38_46_56	9_36_59	0.849930898607
p0	p52	25_38_46_56	11_23_36	0.824597261706
p0	p53	25_38_46_56	7_11_33_59_82	0.939804285696
p0	p54	25_38_46_56	6_15_33_64_78	0.880072329632
p0	p55	25_38_46_56	41_55_80	0.821243368437
p0	p56	25_38_46_56	7_14_15_20_36_55_59_63	0.787243483791
p0	p57	25_38_46_56	7_10_15_82_84	0.94778282182
p0	p58	25_38_46_56	38_64_80_84	0.940333397243
p0	p59	25_38_46_56	6_8_14_48_63_82	0.897304937463
p0	p60	25_38_46_56	14_55_64	0.847112063799
p0	p61	25_38_46_56	14_15_41_46_64	0.778671978086
p0	p62	25_38_46_56	15_19_37_63_64_65_80	0.839680299908
p0	p63	25_38_46_56	7_36_56_65_66_78_84	0.881710138821
p0	p64	25_38_46_56	9_20_41_46	0.766870267131
p0	p65	25_38_46_56	15_19	0.763991509973
p0	p66	25_38_46_56	8_55_84	0.958280087186
p0	p67	25_38_46_56	7_8_81	0.977382941999
p0	p68	25_38_46_56	14_15_25_84	0.800517764899
p0	p69	25_38_46_56	7_14_33_56_63	0.764165013708
p0	p70	25_38_46_56	8_10_25_40_81	0.856096697494
p0	p71	25_38_46_56	23_59	0.794970122569
p0	p72	25_38_46_56	6_11_20_24_66_82	0.888910137353
p0	p73	25_38_46_56	33_40_78	0.780485296731
p0	p74	25_38_46_56	38_42_55	0.730019141574
p0	p75	25_38_46_56	19_20_65	0.780744058769
p0	p76	25_38_46_56	7_15_19_40_78_82	0.879368215656
p0	p77	25_38_46_56	11_20_36_80	0.842875659477
p0	p78	25_38_46_56	19_23_37_41_46_63	0.754247954309
p0	p79	25_38_46_56	33_36_48_64_65_81_82	0.909809903021
p0	p80	25_38_46_56	7_10_11_41	0.935844793353
p0	p81	25_38_46_56	36_48	0.810704773323
p0	p82	25_38_46_56	6_7_24	0.858904190824
p0	p83	25_38_46_56	10_59_64_65_82	0.965225510098
p0	p84	25_38_46_56	9_11_20_46	0.809351517517
p0	p85	25_38_46_56	15_23_24_25_55_56	0.749477232753
p0	p86	25_38_46_56	14_40_46_82	0.830454726796
p0	p87	25_38_46_56	8_14_46_55	0.780031243645
p0	p88	25_38_46_56	6_14_40_41_63	0.761848407239
p0	p89	25_38_46_56	33_46_64	0.807642943285
p0	p90	25_38_46_56	11_24_46_66_81	0.835651613473
p0	p91	25_38_46_56	55_66_80_81	0.917444191993
p0	p92	25_38_46_56	9_11_15_20_48_78	0.850375869395
p0	p93	25_38_46_56	42_64_80_81	0.928805113636
p0	p94	25_38_46_56	11_33_38_40_59_81	0.834168672472
p0	p95	25_38_46_56	23_24_33_40_48_56_81_82	0.851064870396
p0	p96	25_38_46_56	48_80_82	0.946906182134
p0	p97	25_38_46_56	38_42_59_80_82	0.883696818837
p0	p98	25_38_46_56	23_41_46_59_64_82	0.864588454777
p0	p99	25_38_46_56	7_20_23_24_56_80	0.792617356459
p0	p100	25_38_46_56	11_15_41_55_56_66	0.780797897007
p0	p101	25_38_46_56	14_23_24_64_80_84	0.858397431279
p0	p102	25_38_46_56	6_11_23_37	0.873282812948
p0	p103	25_38_46_56	14_15_25_37_56_59	0.739672539346
p0	p104	25_38_46_56	9_11_37_55_59_65_82	0.928747621406
p0	p105	25_38_46_56	20_24_41_48_80_84	0.832740864455
p0	p106	25_38_46_56	8_11_14_65_66_82	0.90515519984
p0	p107	25_38_46_56	23_33_40_65	0.751531742153
p0	p108	25_38_46_56	7_9_56_63_65_80_84	0.92002607944
p0	p109	25_38_46_56	23_25_37_63_78	0.785626252514
p0	p110	25_38_46_56	7_9_24_56_64	0.872835949028
p0	p111	25_38_46_56	9_15_19_24_38_40	0.756718338279
p0	p112	25_38_46_56	9_23_38	0.794844716306
p0	p113	25_38_46_56	23_55_80	0.852908283608
p0	p114	25_38_46_56	25_46_56_81_82	0.853222650045
p0	p115	25_38_46_56	15_63_64_78_81_82	0.930001986994
p0	p116	25_38_46_56	9_20_63_66_81	0.876461407603
p0	p117	25_38_46_56	20_40_59	0.757404672922
p0	p118	25_38_46_56	24_40_41_81	0.814807322132
p0	p119	25_38_46_56	36_55_65_78	0.849030544989
p0	p120	25_38_46_56	9_10_36_81	0.940071409784
p0	p121	25_38_46_56	19_33_38_40_78	0.757046282064
p0	p122	25_38_46_56	10_14_55	0.811602007081
p0	p123	25_38_46_56	20_38_64	0.824222128864
p0	p124	25_38_46_56	6_7_33_36_40	0.802708232393
p0	p125	25_38_46_56	6_14_15_33_36_42_81	0.811265636997
p0	p126	25_38_46_56	8_11_19_55	0.881920972804
p0	p127	25_38_46_56	7_41_81	0.899230863003
p0	p128	25_38_46_56	15_19_23_40_64_66	0.806093197914
p0	p129	25_38_46_56	19_33_40_41_65	0.736914039124
