p0	p1	20_59_82_84	8_36_37_42_59_84	0.907777391952
p0	p2	20_59_82_84	9_40_63	0.895182071863
p0	p3	20_59_82_84	14_23_36_40_81	0.917378480302
p0	p4	20_59_82_84	6_10_41_78	0.95550047943
p0	p5	20_59_82_84	14_38_42_65	0.865353535673
p0	p6	20_59_82_84	10_11_15_20_64_65	0.891921819793
p0	p7	20_59_82_84	19_33_37_64_65_80_81	0.940790148565
p0	p8	20_59_82_84	8_9_41_42	0.952260428919
p0	p9	20_59_82_84	56_80_84	0.926587403292
p0	p10	20_59_82_84	11_19_41_42_84	0.902028859163
p0	p11	20_59_82_84	7_14_36_48_56_65	0.901145273911
p0	p12	20_59_82_84	11_37_56_63	0.865621602571
p0	p13	20_59_82_84	19_63_65	0.830357705923
p0	p14	20_59_82_84	19_25_78_81_82	0.931346661895
p0	p15	20_59_82_84	8_9_33_65_81	0.933793203726
p0	p16	20_59_82_84	42_59_63	0.835204153967
p0	p17	20_59_82_84	23_37_55_66_82	0.906502165758
p0	p18	20_59_82_84	8_9_48_66	0.93561756601
p0	p19	20_59_82_84	8_24_63_82	0.916480831332
p0	p20	20_59_82_84	7_8_23_46_65	0.931120632297
p0	p21	20_59_82_84	8_9_11_19_48_55	0.911672106727
p0	p22	20_59_82_84	63_82	0.923230346704
p0	p23	20_59_82_84	20_23_40_41_78	0.893874801258
p0	p24	20_59_82_84	9_19_55_59_65_84	0.870640997011
p0	p25	20_59_82_84	40_65_78	0.906202286706
p0	p26	20_59_82_84	10_20_36_42_81	0.920389667896
p0	p27	20_59_82_84	23_38_42_56_80_81_82	0.943902342506
p0	p28	20_59_82_84	11_24_36_63_66_78_81	0.90710376493
p0	p29	20_59_82_84	20_38	0.844482091092
p0	p30	20_59_82_84	10_36_42_81	0.955314071663
p0	p31	20_59_82_84	20_23_41_59_63	0.834317327708
p0	p32	20_59_82_84	14_64_66_80_82	0.937773423045
p0	p33	20_59_82_84	8_41_59_65_80_81	0.922941542665
p0	p34	20_59_82_84	19_23_48_84	0.908224223608
p0	p35	20_59_82_84	9_15_23_37_55	0.880747208486
p0	p36	20_59_82_84	6_11_66_82	0.927414316415
p0	p37	20_59_82_84	11_23_24_40_42_65_66_78_84	0.890671258775
p0	p38	20_59_82_84	9_14_23_42_55_59_80	0.883570420879
p0	p39	20_59_82_84	6_20_37_46_56_84	0.913992911864
p0	p40	20_59_82_84	11_14_33_37_63_78	0.89493720146
p0	p41	20_59_82_84	36_46_81	0.973097007173
p0	p42	20_59_82_84	20_38_41_59_63_82	0.890400233897
p0	p43	20_59_82_84	37_42_63_66	0.862587405399
p0	p44	20_59_82_84	20_40_42_56_59	0.845500891181
p0	p45	20_59_82_84	14_15_19_37_48_55_63	0.876301651224
p0	p46	20_59_82_84	10_41_65_78	0.914961447399
p0	p47	20_59_82_84	78_82	0.949219977381
p0	p48	20_59_82_84	10_14_38_41_65	0.8827852629
p0	p49	20_59_82_84	7_10_14_25_63_81	0.910533395202
p0	p50	20_59_82_84	11_15_20_36_48	0.88825775068
p0	p51	20_59_82_84	7_10_41	0.962744071555
p0	p52	20_59_82_84	8_10_64	0.974104329233
p0	p53	20_59_82_84	9_25_41_55_59_63_80	0.878699679627
p0	p54	20_59_82_84	8_10_38_42_63_66	0.904219775051
p0	p55	20_59_82_84	8_19_56_63	0.875218495102
p0	p56	20_59_82_84	6_7_14_25_33_64_65_80	0.925167072078
p0	p57	20_59_82_84	23_24_41_48_66	0.893148234634
p0	p58	20_59_82_84	6_14_48_59	0.899861886146
p0	p59	20_59_82_84	14_24_37_38_55_80_82	0.91303146435
p0	p60	20_59_82_84	11_20_81_82	0.923000896225
p0	p61	20_59_82_84	23_25_37_56_78	0.895267752436
p0	p62	20_59_82_84	19_20_36_41_65_80	0.874854725811
p0	p63	20_59_82_84	11_14_23_25_37_40	0.875546049045
p0	p64	20_59_82_84	37_41_64_81	0.969216292979
p0	p65	20_59_82_84	14_20_80	0.875199203241
p0	p66	20_59_82_84	24_33_55_65	0.848987154634
p0	p67	20_59_82_84	10_55_63	0.868332565563
p0	p68	20_59_82_84	6_33_42_64	0.976015918879
p0	p69	20_59_82_84	8_24_38_41_56	0.902726865443
p0	p70	20_59_82_84	10_41_46_65	0.928638473888
p0	p71	20_59_82_84	38_42	0.942828655286
p0	p72	20_59_82_84	10_23_38_42_78_80	0.944892409146
p0	p73	20_59_82_84	24_59_82	0.90258708796
p0	p74	20_59_82_84	19_25_38	0.868670288821
p0	p75	20_59_82_84	40_66_78	0.918965846348
p0	p76	20_59_82_84	15_25_37_46_56_63_78_84	0.906443849946
p0	p77	20_59_82_84	7_24_36_37_81	0.938502313458
p0	p78	20_59_82_84	6_11_15_20_42_66_81	0.902447963753
p0	p79	20_59_82_84	6_7_37_42_55_64_80_84	0.94743670324
p0	p80	20_59_82_84	14_19_33_63	0.857084102187
p0	p81	20_59_82_84	42_55_81	0.928663155629
p0	p82	20_59_82_84	8_14_40_56	0.8976637053
p0	p83	20_59_82_84	7_15_23_55_82	0.914879785903
p0	p84	20_59_82_84	23_41_78_84	0.919128114198
p0	p85	20_59_82_84	11_41_59_80_84	0.904916997107
p0	p86	20_59_82_84	8_10_19_23_33	0.911158306733
p0	p87	20_59_82_84	19_24_66_81	0.900330978303
p0	p88	20_59_82_84	10_15_19_55_59	0.85941931718
p0	p89	20_59_82_84	8_10_78	0.95651286907
p0	p90	20_59_82_84	7_20_37_38_80	0.921778293527
p0	p91	20_59_82_84	11_38_78	0.927088710951
p0	p92	20_59_82_84	10_15_20_23_59_80_84	0.884464567213
p0	p93	20_59_82_84	10_36_41_64	0.967115613382
p0	p94	20_59_82_84	6_20_36_41_56_65_82	0.905686532504
p0	p95	20_59_82_84	6_7_15_37_40_56_66	0.910833079245
p0	p96	20_59_82_84	9_11_46	0.943843938294
p0	p97	20_59_82_84	7_8_19_65_78_84	0.916236386259
p0	p98	20_59_82_84	7_10_15_20_36_40	0.897386837133
p0	p99	20_59_82_84	10_11_19_64_78_80	0.944310295362
