p0	p1	20_59_82_84	8_36_37_42_59_84	0.89164044658
p0	p2	20_59_82_84	9_40_63	0.925360506321
p0	p3	20_59_82_84	14_23_36_40_81	0.911437232788
p0	p4	20_59_82_84	6_10_41_78	0.922223912895
p0	p5	20_59_82_84	14_38_42_65	1.1940147906
p0	p6	20_59_82_84	10_11_15_20_64_65	0.936692244609
p0	p7	20_59_82_84	19_33_37_64_65_80_81	0.931777813184
p0	p8	20_59_82_84	8_9_41_42	1.30346253415
p0	p9	20_59_82_84	56_80_84	1.17734853966
p0	p10	20_59_82_84	11_19_41_42_84	0.987890658995
p0	p11	20_59_82_84	7_14_36_48_56_65	0.938364801118
p0	p12	20_59_82_84	11_37_56_63	0.984689251018
p0	p13	20_59_82_84	19_63_65	0.914832072278
p0	p14	20_59_82_84	19_25_78_81_82	1.17813267036
p0	p15	20_59_82_84	8_9_33_65_81	0.950702352268
p0	p16	20_59_82_84	42_59_63	0.973783451083
p0	p17	20_59_82_84	23_37_55_66_82	0.922397814886
p0	p18	20_59_82_84	8_9_48_66	1.18179896897
p0	p19	20_59_82_84	8_24_63_82	1.15321400994
p0	p20	20_59_82_84	7_8_23_46_65	1.30025020114
p0	p21	20_59_82_84	8_9_11_19_48_55	0.920568246688
p0	p22	20_59_82_84	63_82	0.94096059816
p0	p23	20_59_82_84	20_23_40_41_78	1.11968502532
p0	p24	20_59_82_84	9_19_55_59_65_84	1.09619357071
p0	p25	20_59_82_84	40_65_78	1.28189868659
p0	p26	20_59_82_84	10_20_36_42_81	0.96589549908
p0	p27	20_59_82_84	23_38_42_56_80_81_82	0.911414678201
p0	p28	20_59_82_84	11_24_36_63_66_78_81	0.953522508912
p0	p29	20_59_82_84	20_38	0.923908921361
p0	p30	20_59_82_84	10_36_42_81	0.918124354233
p0	p31	20_59_82_84	20_23_41_59_63	1.14015926426
p0	p32	20_59_82_84	14_64_66_80_82	1.17858194372
p0	p33	20_59_82_84	8_41_59_65_80_81	1.10807056312
p0	p34	20_59_82_84	19_23_48_84	1.17613838131
p0	p35	20_59_82_84	9_15_23_37_55	0.921485723078
p0	p36	20_59_82_84	6_11_66_82	1.2928247089
p0	p37	20_59_82_84	11_23_24_40_42_65_66_78_84	0.917775876947
p0	p38	20_59_82_84	9_14_23_42_55_59_80	0.9287190052
p0	p39	20_59_82_84	6_20_37_46_56_84	0.927900569393
p0	p40	20_59_82_84	11_14_33_37_63_78	0.966923053634
p0	p41	20_59_82_84	36_46_81	0.982788663309
p0	p42	20_59_82_84	20_38_41_59_63_82	0.897608479462
p0	p43	20_59_82_84	37_42_63_66	0.898288575432
p0	p44	20_59_82_84	20_40_42_56_59	0.901397636193
p0	p45	20_59_82_84	14_15_19_37_48_55_63	0.9445918675
p0	p46	20_59_82_84	10_41_65_78	0.911397773531
p0	p47	20_59_82_84	78_82	0.878019823205
p0	p48	20_59_82_84	10_14_38_41_65	1.15475268157
p0	p49	20_59_82_84	7_10_14_25_63_81	1.12617315136
p0	p50	20_59_82_84	11_15_20_36_48	0.920417305649
p0	p51	20_59_82_84	7_10_41	0.868723405111
p0	p52	20_59_82_84	8_10_64	1.30569137495
p0	p53	20_59_82_84	9_25_41_55_59_63_80	1.07196413386
p0	p54	20_59_82_84	8_10_38_42_63_66	0.95248490385
p0	p55	20_59_82_84	8_19_56_63	1.29604908854
p0	p56	20_59_82_84	6_7_14_25_33_64_65_80	0.917844440054
p0	p57	20_59_82_84	23_24_41_48_66	0.916216533947
